Date,Open,High,Low,Close,Adj Close,Volume
2/1/2010,1073.890015,1112.420044,1044.5,1104.48999,1104.48999,84561340000
3/1/2010,1105.359985,1180.689941,1105.359985,1169.430054,1169.430054,1.03684E+11
4/1/2010,1171.22998,1219.800049,1170.689941,1186.689941,1186.689941,1.16742E+11
5/1/2010,1188.579956,1205.130005,1040.780029,1089.410034,1089.410034,1.27663E+11
6/1/2010,1087.300049,1131.22998,1028.329956,1030.709961,1030.709961,1.10107E+11
7/1/2010,1031.099976,1120.949951,1010.909973,1101.599976,1101.599976,94778110000
8/1/2010,1107.530029,1129.23999,1039.699951,1049.329956,1049.329956,85738250000
9/1/2010,1049.719971,1157.160034,1049.719971,1141.199951,1141.199951,79589450000
10/1/2010,1143.48999,1196.140015,1131.869995,1183.26001,1183.26001,89536270000
11/1/2010,1185.709961,1227.079956,1173,1180.550049,1180.550049,87151070000
12/1/2010,1186.599976,1262.599976,1186.599976,1257.640015,1257.640015,80984530000
1/1/2011,1257.619995,1302.670044,1257.619995,1286.119995,1286.119995,92164940000
2/1/2011,1289.140015,1344.069946,1289.140015,1327.219971,1327.219971,59223660000
3/1/2011,1328.640015,1332.280029,1249.050049,1325.829956,1325.829956,89507640000
4/1/2011,1329.47998,1364.560059,1294.699951,1363.609985,1363.609985,77364810000
5/1/2011,1365.209961,1370.579956,1311.800049,1345.199951,1345.199951,81708980000
6/1/2011,1345.199951,1345.199951,1258.069946,1320.640015,1320.640015,86122730000
7/1/2011,1320.640015,1356.47998,1282.859985,1292.280029,1292.280029,81102170000
8/1/2011,1292.589966,1307.380005,1101.540039,1218.890015,1218.890015,1.08419E+11
9/1/2011,1219.119995,1229.290039,1114.219971,1131.420044,1131.420044,1.02787E+11
10/1/2011,1131.209961,1292.660034,1074.77002,1253.300049,1253.300049,98063670000
11/1/2011,1251,1277.550049,1158.660034,1246.959961,1246.959961,84275050000
12/1/2011,1246.910034,1269.369995,1202.369995,1257.599976,1257.599976,74742430000
1/1/2012,1258.859985,1333.469971,1258.859985,1312.410034,1312.410034,79567560000
2/1/2012,1312.449951,1378.040039,1312.449951,1365.680054,1365.680054,78385710000
3/1/2012,1365.900024,1419.150024,1340.030029,1408.469971,1408.469971,83899660000
4/1/2012,1408.469971,1422.380005,1357.380005,1397.910034,1397.910034,74761710000
5/1/2012,1397.859985,1415.319946,1291.97998,1310.329956,1310.329956,86920490000
6/1/2012,1309.869995,1363.459961,1266.73999,1362.160034,1362.160034,81582440000
7/1/2012,1362.329956,1391.73999,1325.410034,1379.319946,1379.319946,73103810000
8/1/2012,1379.319946,1426.680054,1354.650024,1406.579956,1406.579956,70283810000
9/1/2012,1406.540039,1474.51001,1396.560059,1440.670044,1440.670044,69784280000
10/1/2012,1440.900024,1470.959961,1403.280029,1412.160034,1412.160034,71752320000
11/1/2012,1412.199951,1434.27002,1343.349976,1416.180054,1416.180054,71489310000
12/1/2012,1416.339966,1448,1398.109985,1426.189941,1426.189941,66388180000
